CustomerId,Email,Phone,creditScore,creditTotal,hasMortgageLoan
CRM8576821,jdoley0@facebook.com,(193) 1729554,741,70825,true
CRM5720905,gmintram1@blinklist.com,(350) 8411212,563,2192,false
CRM8502820,pbuston2@mozilla.com,(374) 7018865,334,22762,true
CRM7046456,bspilstead3@go.com,(458) 3598670,484,32763,true
CRM0392997,broland4@ebay.co.uk,(956) 5983689,634,36542,false
CRM0555619,pbeavan5@bing.com,(397) 7767524,775,12714,false
CRM9313953,wkittley6@ifeng.com,(876) 1402829,595,16294,false
CRM9920051,jpaniman7@weibo.com,(303) 7498561,831,96796,true
CRM5261348,jcorris8@cbc.ca,(504) 5661199,748,19213,false
CRM5955678,ibacke9@skype.com,(441) 6009726,669,88399,true
CRM8653931,aphillotta@jugem.jp,(554) 5131191,639,46954,true
CRM4563272,tcamusb@google.co.uk,(226) 2949218,583,91469,false
CRM6864864,reasmanc@vimeo.com,(638) 9936603,758,56766,true
CRM1030370,dhamblettd@furl.net,(977) 5982240,404,99764,false
CRM0307357,garnaute@sciencedaily.com,(631) 3170868,519,19717,false
CRM9345233,kbiesingerf@slate.com,(868) 3860483,724,2841,true
CRM1560632,lfaircloughg@parallels.com,(406) 9442732,636,89275,false
CRM5275406,etrammelh@vinaora.com,(843) 8173220,429,53968,true
CRM0968112,dcracknalli@yahoo.com,(285) 1625797,746,57683,false
CRM0000232,jcermanj@networksolutions.com,(729) 3753242,598,7269,false
CRM3409340,dmelrossk@themeforest.net,(930) 2262088,692,90951,false
CRM6737971,mgeorghioul@princeton.edu,(171) 2449058,633,57432,false
CRM4993779,rvittetm@house.gov,(859) 4185824,532,11446,true
CRM7753499,dsandomn@mysql.com,(515) 5737213,460,28007,false
CRM8001696,ythorpeo@bloglines.com,(983) 3148782,430,33293,true
CRM5452489,cspurdenp@tripadvisor.com,(695) 6759498,720,72805,true
CRM5557271,spadsonq@friendfeed.com,(990) 4795556,831,35721,true
CRM8858670,ttousyr@examiner.com,(244) 6325763,831,42237,true
CRM7052457,ccrackers@cisco.com,(531) 5584183,455,20582,true
CRM7655117,pphebyt@discovery.com,(197) 6459637,734,17154,true
CRM2731457,psyresu@discovery.com,(156) 5554740,671,43711,false
CRM2376705,lkelbermanv@meetup.com,(469) 4877991,826,92083,true
CRM2534301,eollerheadw@patch.com,(227) 3955249,673,75969,false
CRM9643635,cchasemorex@cbslocal.com,(557) 4385898,539,97141,true
CRM4000722,lchattingtony@nba.com,(959) 4713992,422,84719,false
CRM3060102,jsaggsz@arstechnica.com,(683) 2777651,357,27127,false
CRM8275685,dleyborne10@macromedia.com,(590) 8924067,468,90028,true
CRM0094136,cmeharry11@samsung.com,(550) 5555581,710,21309,true
CRM3372293,rsupple12@360.cn,(584) 5428223,655,83808,true
CRM7967597,espilsburie13@fotki.com,(613) 8247288,697,61630,false
CRM8538746,blarking14@chronoengine.com,(947) 6163136,765,49917,false
CRM2998394,kmacinherney15@elegantthemes.com,(609) 2738351,403,4034,true
CRM7524257,akittman16@senate.gov,(659) 5803807,385,69919,true
CRM1293042,slaundon17@xrea.com,(878) 1800024,840,28555,false
CRM3853966,blickess18@businessweek.com,(309) 5097711,406,3953,false
CRM2700406,bgodsafe19@nsw.gov.au,(939) 9366606,450,54421,false
CRM6429860,mconniam1a@webs.com,(714) 3158592,394,42165,true
CRM1749131,sburdass1b@home.pl,(530) 4065084,482,32317,false
CRM0395912,sshucksmith1c@weebly.com,(223) 4367000,540,99461,false
CRM7756489,hcoffelt1d@about.com,(985) 5097705,785,57491,true
CRM6339017,rbranford1e@craigslist.org,(925) 6562689,430,35,true
CRM1545458,hcrecy1f@mediafire.com,(510) 5022780,774,43660,true
CRM1899053,qrobion1g@plala.or.jp,(729) 1558966,365,31059,true
CRM9898786,fswigg1h@bizjournals.com,(845) 2646572,711,81792,false
CRM9808027,mkayzer1i@163.com,(159) 2622999,395,84255,false
CRM5487265,kmacdiarmond1j@goo.gl,(624) 2125049,668,70914,true
CRM7659652,bwarden1k@amazonaws.com,(142) 8588976,347,78161,false
CRM7856223,eclabburn1l@soundcloud.com,(883) 6288033,361,96399,true
CRM7005728,vdodle1m@census.gov,(345) 9085101,452,55824,true
CRM3002297,cshafier1n@businessweek.com,(568) 1300931,782,12535,true
