dgid,loyaltyId,loyaltyLevel,Points
205-37-2427,02-987-6434,Platinum,1337
375-36-5277,06-030-3777,Bronze,390
463-03-4420,07-487-6347,Gold,898
775-71-1422,07-784-6114,Platinum,1123
455-58-1053,10-727-2454,Silver,721
854-87-5269,11-929-7826,Silver,671
565-74-0404,12-122-0207,Platinum,1334
573-85-9818,12-245-2069,Gold,889
836-62-6688,13-566-8691,Silver,761
317-67-4828,14-302-2990,Platinum,1332
628-40-8954,14-772-3743,Silver,656
342-96-4456,15-019-3282,Platinum,1199
567-04-5632,15-397-4836,Platinum,1464
349-29-6555,16-037-4312,Gold,871
479-29-1029,16-730-8478,Bronze,512
732-78-6105,17-025-0208,Bronze,539
676-04-8379,20-204-8464,Bronze,398
776-57-0766,20-386-4471,Gold,949
729-86-7789,21-183-5064,Platinum,1370
745-36-3340,22-755-0264,Silver,686
173-67-5141,22-868-7772,Gold,966
243-55-1326,26-367-2568,Gold,937
277-13-2500,26-478-1574,Gold,921
606-77-7348,30-299-7761,Bronze,482
278-40-4325,35-362-8144,Silver,840
164-24-0370,36-439-0149,Silver,713
382-17-0369,38-712-3034,Platinum,1184
110-91-5110,39-028-6737,Platinum,1494
449-25-4129,39-833-4761,Bronze,527
407-20-6318,45-238-5620,Gold,983
884-61-2768,47-496-4448,Gold,926
758-52-3433,47-857-8620,Platinum,1212
405-36-2289,49-904-3827,Platinum,1354
294-68-5679,50-020-9952,Silver,706
133-04-6318,51-902-9947,Silver,633
313-64-3588,54-766-0276,Gold,968
103-20-6294,56-369-4052,Gold,981
690-69-3941,59-765-5621,Platinum,1384
174-72-6164,62-059-0298,Gold,973
160-30-5793,62-669-1091,Silver,838
704-23-4043,65-457-4820,Platinum,1020
335-99-5225,66-059-8682,Platinum,1291
415-02-5495,67-064-3762,Platinum,1459
368-55-2580,67-950-5829,Bronze,486
619-44-1240,68-282-5253,Platinum,1065
224-64-1950,69-142-7970,Gold,892
208-55-3644,69-219-9344,Gold,901
812-06-5916,70-090-9863,Bronze,372
241-51-1850,70-953-2935,Gold,989
715-23-2604,72-373-2020,Silver,838
892-30-4994,72-394-5057,Platinum,1031
561-91-6665,72-463-1476,Gold,923
773-99-5140,73-455-1633,Gold,970
438-07-9722,75-248-4798,Gold,951
549-61-6402,75-940-7837,Platinum,1475
371-69-2264,77-831-7374,Platinum,1289
543-44-3491,78-805-8493,Platinum,1044
368-55-8653,80-835-2431,Platinum,1380
715-90-3949,81-503-8256,Gold,920
671-68-9342,82-220-9700,Bronze,360
819-53-2866,84-004-2095,Silver,841
534-64-1212,84-153-6348,Platinum,1373
833-50-6032,84-248-2319,Platinum,1101
138-66-0869,84-429-9605,Platinum,1144
268-11-6206,84-883-9712,Bronze,334
742-95-4076,85-359-9573,Gold,870
112-78-3148,85-671-7693,Gold,886
572-05-7748,85-682-9232,Silver,734
698-08-6982,87-225-7408,Silver,657
574-34-1182,88-127-7922,Bronze,301
711-51-7739,89-746-4880,Platinum,1480
195-44-9999,90-603-9791,Platinum,1284
445-07-4044,91-846-0903,Silver,695
496-16-1103,92-588-3720,Bronze,524
553-82-8827,93-376-4162,Platinum,1382
460-34-2285,93-591-6332,Bronze,360
780-73-5400,93-689-0676,Gold,856
599-40-1620,94-407-9160,Gold,916
636-12-6125,96-192-0025,Gold,990
742-47-0950,97-041-5930,Bronze,406
402-24-7842,97-931-7904,Platinum,1304
